episode,reward,total_burned,epsilon,steps,q_table_size
555,-435.0,479,0.03,23,1296
556,-383.0,435,0.03,21,1297
557,-271.0,319,0.03,21,1300
558,-432.0,484,0.03,23,1301
559,-352.0,408,0.03,24,1301
560,-409.0,469,0.03,23,1302
561,-393.0,447,0.03,23,1302
562,-365.0,413,0.03,20,1303
563,-337.0,379,0.03,23,1303
564,-294.0,350,0.03,23,1304
565,-310.0,368,0.03,24,1306
566,-335.0,387,0.03,21,1306
567,-249.0,293,0.03,23,1308
568,-350.0,396,0.03,19,1309
569,-338.0,390,0.03,20,1309
570,-295.0,345,0.03,22,1311
571,-334.0,390,0.03,27,1313
572,-369.0,417,0.03,23,1314
573,-342.0,382,0.03,18,1314
574,-378.0,438,0.03,27,1314
575,-301.0,349,0.03,19,1314
576,-391.0,451,0.03,23,1314
577,-443.0,493,0.03,21,1314
578,-470.0,524,0.03,22,1314
579,-372.0,438,0.03,23,1316
580,-334.0,398,0.03,23,1317
581,-476.0,528,0.03,23,1317
582,-362.0,410,0.03,20,1317
583,-338.0,380,0.03,20,1317
584,-444.0,502,0.03,24,1317
585,-365.0,407,0.03,20,1319
586,-354.0,410,0.03,22,1319
587,-358.0,412,0.03,23,1319
588,-430.0,480,0.03,21,1319
589,-426.0,466,0.03,21,1319
590,-353.0,421,0.03,22,1321
591,-415.0,461,0.03,26,1321
592,-364.0,416,0.03,26,1321
593,-292.0,358,0.03,24,1321
594,2.0,2,0.03,2,1321
595,-323.0,381,0.03,22,1322
596,-384.0,444,0.03,22,1322
597,-386.0,436,0.03,23,1322
598,-435.0,497,0.03,25,1322
599,-365.0,413,0.03,19,1323
600,-282.0,326,0.03,21,1326
601,-424.0,464,0.03,22,1326
602,-118.0,158,0.03,22,1329
603,-230.0,274,0.03,23,1333
604,-269.0,321,0.03,23,1338
605,-441.0,491,0.03,21,1339
606,-372.0,418,0.03,22,1339
607,-382.0,428,0.03,26,1339
608,-426.0,476,0.03,20,1341
609,-430.0,486,0.03,23,1341
